,Emblem_ID,Emblem_Motto,Publication_Date,Iconclass_Heading_1,Iconclass_Heading_2,Iconclass_Heading_3,Iconclass_Heading_4,Iconclass_Heading_5,Iconclass_Heading_6,Iconclass_Heading_7,Published_In,URL_for_Book_Details,iconclasses,is_animal
69,E029718,PAX.,1534,"11A Deity, God (in general) ~ Christian religion",23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",41B32 torch,43A festivities,"43A(+21) festivities (+ decorated float, wagon ~ festive activities)","45A10 symbols, allegories of war; 'Guerra' (Ripa)",A34a,http://emblematica.library.illinois.edu/detail/book/A34a,"['11A Deity, God (in general) ~ Christian religion', '23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '41B32 torch', '43A festivities', '43A(+21) festivities (+ decorated float, wagon ~ festive activities)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
70,E029788,Ex bello pax,1534,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,A34b,http://emblematica.library.illinois.edu/detail/book/A34b,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
71,E029823,Pax.,1534,"11A Deity, God (in general) ~ Christian religion",23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",25G3 trees,43A festivities,"43A(+21) festivities (+ decorated float, wagon ~ festive activities)","45A10 symbols, allegories of war; 'Guerra' (Ripa)",A34b,http://emblematica.library.illinois.edu/detail/book/A34b,"['11A Deity, God (in general) ~ Christian religion', '23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '25G3 trees', '43A festivities', '43A(+21) festivities (+ decorated float, wagon ~ festive activities)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
72,E029901,Ex bello pax. De Guerre Paix.,1539,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,A39a,http://emblematica.library.illinois.edu/detail/book/A39a,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
73,E029936,Pax. Paix.,1539,"11A Deity, God (in general) ~ Christian religion",23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",25G3 trees,43A festivities,"43A(+21) festivities (+ decorated float, wagon ~ festive activities)","45A10 symbols, allegories of war; 'Guerra' (Ripa)",A39a,http://emblematica.library.illinois.edu/detail/book/A39a,"['11A Deity, God (in general) ~ Christian religion', '23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '25G3 trees', '43A festivities', '43A(+21) festivities (+ decorated float, wagon ~ festive activities)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
74,E030014,Ex bello pax. De Guerre Paix.,1542,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,A42a,http://emblematica.library.illinois.edu/detail/book/A42a,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
75,E030049,Pax. Paix.,1542,"11A Deity, God (in general) ~ Christian religion",23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",25G3 trees,43A festivities,"43A(+21) festivities (+ decorated float, wagon ~ festive activities)","45A10 symbols, allegories of war; 'Guerra' (Ripa)",A42a,http://emblematica.library.illinois.edu/detail/book/A42a,"['11A Deity, God (in general) ~ Christian religion', '23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '25G3 trees', '43A festivities', '43A(+21) festivities (+ decorated float, wagon ~ festive activities)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
76,E030129,Ex bello pax. Frid auß krieg.,1542,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,A42b,http://emblematica.library.illinois.edu/detail/book/A42b,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
77,E030164,Pax. Frid.,1542,"11A Deity, God (in general) ~ Christian religion",23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",25G3 trees,43A festivities,"43A(+21) festivities (+ decorated float, wagon ~ festive activities)","45A10 symbols, allegories of war; 'Guerra' (Ripa)",A42b,http://emblematica.library.illinois.edu/detail/book/A42b,"['11A Deity, God (in general) ~ Christian religion', '23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '25G3 trees', '43A festivities', '43A(+21) festivities (+ decorated float, wagon ~ festive activities)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
78,E030330,Que tras la guerra viene la paz.,1549,"22D1 loud sound, noise","25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",25G13 groups of plants (herbs),"25H1124 boulder, stone",25H113 (high) hill,31A22611 blood,45A1 war,A49a,http://emblematica.library.illinois.edu/detail/book/A49a,"['22D1 loud sound, noise', '25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '25G13 groups of plants (herbs)', '25H1124 boulder, stone', '25H113 (high) hill', '31A22611 blood', '45A1 war']",True
79,E030365,La paz.,1549,11P the Church (as institution),23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",31A2352 sitting on an elevation,31A244 head bent forward; bowing,31A247 looking over the shoulder,31A2511(+933) arm raised upward (+ holding something),A49a,http://emblematica.library.illinois.edu/detail/book/A49a,"['11P the Church (as institution)', '23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '31A2352 sitting on an elevation', '31A244 head bent forward; bowing', '31A247 looking over the shoulder', '31A2511(+933) arm raised upward (+ holding something)']",True
80,E030670,PAX,1550,23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",31A2352 sitting on an elevation,31A244 head bent forward; bowing,31A247 looking over the shoulder,31A2511(+933) arm raised upward (+ holding something),31A2512(+933) arm stretched forward (+ holding something),A50a,http://emblematica.library.illinois.edu/detail/book/A50a,"['23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '31A2352 sitting on an elevation', '31A244 head bent forward; bowing', '31A247 looking over the shoulder', '31A2511(+933) arm raised upward (+ holding something)', '31A2512(+933) arm stretched forward (+ holding something)']",True
81,E030671,Ex bello pax.,1550,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",25G13 groups of plants (herbs),"25H1124 boulder, stone",25H113 (high) hill,31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",A50a,http://emblematica.library.illinois.edu/detail/book/A50a,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '25G13 groups of plants (herbs)', '25H1124 boulder, stone', '25H113 (high) hill', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
82,E030881,PAX.,1551,23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",31A2352 sitting on an elevation,31A244 head bent forward; bowing,31A247 looking over the shoulder,31A2511(+933) arm raised upward (+ holding something),31A2512(+933) arm stretched forward (+ holding something),A51a,http://emblematica.library.illinois.edu/detail/book/A51a,"['23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '31A2352 sitting on an elevation', '31A244 head bent forward; bowing', '31A247 looking over the shoulder', '31A2511(+933) arm raised upward (+ holding something)', '31A2512(+933) arm stretched forward (+ holding something)']",True
83,E030882,Ex bello pax.,1551,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",25G13 groups of plants (herbs),"25H1124 boulder, stone",25H113 (high) hill,31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",A51a,http://emblematica.library.illinois.edu/detail/book/A51a,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '25G13 groups of plants (herbs)', '25H1124 boulder, stone', '25H113 (high) hill', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
84,E030961,Ex bello pax.,1556,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,A56a,http://emblematica.library.illinois.edu/detail/book/A56a,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
85,E030996,Pax.,1556,"11A Deity, God (in general) ~ Christian religion","25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",26A clouds,31A2511(+933) arm raised upward (+ holding something),31A2515(+933) arm held downwards (+ holding something),31A2746 breaking something,31D14 adult man,A56a,http://emblematica.library.illinois.edu/detail/book/A56a,"['11A Deity, God (in general) ~ Christian religion', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '26A clouds', '31A2511(+933) arm raised upward (+ holding something)', '31A2515(+933) arm held downwards (+ holding something)', '31A2746 breaking something', '31D14 adult man']",True
86,E031281,PAIX.,1558,23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",31A2352 sitting on an elevation,31A244 head bent forward; bowing,31A247 looking over the shoulder,31A2511(+933) arm raised upward (+ holding something),31A2512(+933) arm stretched forward (+ holding something),A58a,http://emblematica.library.illinois.edu/detail/book/A58a,"['23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '31A2352 sitting on an elevation', '31A244 head bent forward; bowing', '31A247 looking over the shoulder', '31A2511(+933) arm raised upward (+ holding something)', '31A2512(+933) arm stretched forward (+ holding something)']",True
87,E031282,De guerre Paix.,1558,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",25G13 groups of plants (herbs),"25H1124 boulder, stone",25H113 (high) hill,31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",A58a,http://emblematica.library.illinois.edu/detail/book/A58a,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '25G13 groups of plants (herbs)', '25H1124 boulder, stone', '25H113 (high) hill', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
88,E031468,Pax. Frid.,1566,23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)","25G3(+21) trees (+ stem, trunk)",26A clouds,31A2352 sitting on an elevation,31A2512(+933) arm stretched forward (+ holding something),31A2516(+933) arm or hand held in front of the body (+ holding something),A67a,http://emblematica.library.illinois.edu/detail/book/A67a,"['23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '25G3(+21) trees (+ stem, trunk)', '26A clouds', '31A2352 sitting on an elevation', '31A2512(+933) arm stretched forward (+ holding something)', '31A2516(+933) arm or hand held in front of the body (+ holding something)']",True
89,E031469,Ex bello pax. Auß Krieg frid.,1566,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",25H114 low hill country,31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",A67a,http://emblematica.library.illinois.edu/detail/book/A67a,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '25H114 low hill country', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)""]",True
90,E031704,Pax.,1591,23S14 Rome (one of the four world empires),"25F(+5227) animals (+ animal trampling, treading, stamping on someone or something)","25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",25H114 low hill country,26A clouds,31A2513(+933) arm stretched sidewards (+ holding something),31D14 adult man,A91a,http://emblematica.library.illinois.edu/detail/book/A91a,"['23S14 Rome (one of the four world empires)', '25F(+5227) animals (+ animal trampling, treading, stamping on someone or something)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '25H114 low hill country', '26A clouds', '31A2513(+933) arm stretched sidewards (+ holding something)', '31D14 adult man']",True
91,E031705,Ex bello pax.,1591,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,A91a,http://emblematica.library.illinois.edu/detail/book/A91a,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
92,E031892,PACE.,1551,"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",31A2352 sitting on an elevation,31A244 head bent forward; bowing,31A247 looking over the shoulder,31A2511(+933) arm raised upward (+ holding something),31A2512(+933) arm stretched forward (+ holding something),31A2513(+933) arm stretched sidewards (+ holding something),ALCa,http://emblematica.library.illinois.edu/detail/book/ALCa,"['25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '31A2352 sitting on an elevation', '31A244 head bent forward; bowing', '31A247 looking over the shoulder', '31A2511(+933) arm raised upward (+ holding something)', '31A2512(+933) arm stretched forward (+ holding something)', '31A2513(+933) arm stretched sidewards (+ holding something)']",True
93,E031893,Che dalla guerra procede la pace.,1551,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",25G13 groups of plants (herbs),"25H1124 boulder, stone",25H113 (high) hill,31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",ALCa,http://emblematica.library.illinois.edu/detail/book/ALCa,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '25G13 groups of plants (herbs)', '25H1124 boulder, stone', '25H113 (high) hill', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
94,E031964,Ex bello pax De Guerre Paix.,1536,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,FALa,http://emblematica.library.illinois.edu/detail/book/FALa,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
95,E031999,Pax. Paix.,1536,"11A Deity, God (in general) ~ Christian religion",23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",25G3 trees,43A festivities,"43A(+21) festivities (+ decorated float, wagon ~ festive activities)","45A10 symbols, allegories of war; 'Guerra' (Ripa)",FALa,http://emblematica.library.illinois.edu/detail/book/FALa,"['11A Deity, God (in general) ~ Christian religion', '23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '25G3 trees', '43A festivities', '43A(+21) festivities (+ decorated float, wagon ~ festive activities)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
96,E032198,Paix,1549,23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",31A2352 sitting on an elevation,31A244 head bent forward; bowing,31A247 looking over the shoulder,31A2511(+933) arm raised upward (+ holding something),31A2512(+933) arm stretched forward (+ holding something),FALb,http://emblematica.library.illinois.edu/detail/book/FALb,"['23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '31A2352 sitting on an elevation', '31A244 head bent forward; bowing', '31A247 looking over the shoulder', '31A2511(+933) arm raised upward (+ holding something)', '31A2512(+933) arm stretched forward (+ holding something)']",True
97,E032199,De guerre Paix.,1549,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",25G13 groups of plants (herbs),"25H1124 boulder, stone",25H113 (high) hill,31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",FALb,http://emblematica.library.illinois.edu/detail/book/FALb,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '25G13 groups of plants (herbs)', '25H1124 boulder, stone', '25H113 (high) hill', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
98,E032489,De Guerre Paix.,1615,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,FALd,http://emblematica.library.illinois.edu/detail/book/FALd,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
99,E032524,Paix.,1615,"11A Deity, God (in general) ~ Christian religion","25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",26A clouds,31A2511(+933) arm raised upward (+ holding something),31A2515(+933) arm held downwards (+ holding something),31A2746 breaking something,31D14 adult man,FALd,http://emblematica.library.illinois.edu/detail/book/FALd,"['11A Deity, God (in general) ~ Christian religion', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '26A clouds', '31A2511(+933) arm raised upward (+ holding something)', '31A2515(+933) arm held downwards (+ holding something)', '31A2746 breaking something', '31D14 adult man']",True
112,E051589,"Der Dreyen Eines., Der Bedeutende.",1646,"86(DER DREYEN EINES., DER BEDEUTENDE) proverbs, sayings, etc. (DER DREYEN EINES., DER BEDEUTENDE)","25I22 prospect of village, silhouette of village",25G3(OAK) trees: oak,25G21(OAK APPLE) fruits (OAK APPLE),"61B2(BERCHEN, Ernst von)3 historical person (BERCHEN, Ernst von) - other representations to which the NAME of a historical person may be attached (BERCHEN, Ernst von)",25F713(+1) spiders (+ animals used symbolically),25F711(FLY)(+1) insects: fly (+ animals used symbolically),537816240,http://emblematica.library.illinois.edu/detail/book/537816240,"['86(DER DREYEN EINES., DER BEDEUTENDE) proverbs, sayings, etc. (DER DREYEN EINES., DER BEDEUTENDE)', '25I22 prospect of village, silhouette of village', '25G3(OAK) trees: oak', '25G21(OAK APPLE) fruits (OAK APPLE)', '61B2(BERCHEN, Ernst von)3 historical person (BERCHEN, Ernst von) - other representations to which the NAME of a historical person may be attached (BERCHEN, Ernst von)', '25F713(+1) spiders (+ animals used symbolically)', '25F711(FLY)(+1) insects: fly (+ animals used symbolically)']",True
